rid,date,eid,cid,rate
123,2022-04-05 17:00:00,4,BTC,45883.3
124,2022-04-05 17:00:00,5,BTC,45888.0
125,2022-04-05 17:00:00,1,ETH,3430.59
126,2022-04-05 17:00:00,2,ETH,3431.16
127,2022-04-05 17:00:00,3,ETH,3430.29
128,2022-04-05 17:00:00,4,ETH,3432.17
129,2022-04-05 17:00:00,5,ETH,3430.3
130,2022-04-05 17:00:00,1,LTC,124.1
131,2022-04-05 17:00:00,2,LTC,124.24
132,2022-04-05 17:00:00,3,LTC,124.23
133,2022-04-05 17:00:00,4,LTC,124.23
134,2022-04-05 17:00:00,5,LTC,124.255
135,2022-04-05 17:00:00,1,LUNA,115.16
136,2022-04-05 17:00:00,2,LUNA,115.17
137,2022-04-05 17:00:00,3,LUNA,115.1717
138,2022-04-05 17:00:00,4,LUNA,115.2
139,2022-04-05 17:00:00,5,LUNA,115.12
140,2022-04-05 17:00:00,1,ADA,1.184
141,2022-04-05 17:00:00,2,ADA,1.1847
142,2022-04-05 17:00:00,3,ADA,1.184577
143,2022-04-05 17:00:00,4,ADA,1.184729
144,2022-04-05 17:00:00,5,ADA,1.18419
145,2022-04-05 17:00:00,1,DOT,22.1
146,2022-04-05 17:00:00,2,DOT,22.11
147,2022-04-05 17:00:00,3,DOT,22.0946
148,2022-04-05 17:00:00,4,DOT,22.0976
149,2022-04-05 17:00:00,5,DOT,22.102
150,2022-04-05 18:00:00,1,BTC,45923.47
151,2022-04-05 18:00:00,2,BTC,45938.71
152,2022-04-05 18:00:00,3,BTC,45929.28
153,2022-04-05 18:00:00,4,BTC,45934.8
154,2022-04-05 18:00:00,5,BTC,45935.0
155,2022-04-05 18:00:00,1,ETH,3450.57
156,2022-04-05 18:00:00,2,ETH,3450.01
157,2022-04-05 18:00:00,3,ETH,3450.05
158,2022-04-05 18:00:00,4,ETH,3451.12
159,2022-04-05 18:00:00,5,ETH,3450.5
160,2022-04-05 18:00:00,1,LTC,124.6
161,2022-04-05 18:00:00,2,LTC,124.64
162,2022-04-05 18:00:00,3,LTC,124.52
163,2022-04-05 18:00:00,4,LTC,124.56
164,2022-04-05 18:00:00,5,LTC,124.52
165,2022-04-05 18:00:00,1,LUNA,116.61
166,2022-04-05 18:00:00,2,LUNA,116.7
167,2022-04-05 18:00:00,3,LUNA,116.6169
168,2022-04-05 18:00:00,4,LUNA,116.63
169,2022-04-05 18:00:00,5,LUNA,116.55
170,2022-04-05 18:00:00,1,ADA,1.186
171,2022-04-05 18:00:00,2,ADA,1.1875
172,2022-04-05 18:00:00,3,ADA,1.186987
173,2022-04-05 18:00:00,4,ADA,1.186378
174,2022-04-05 18:00:00,5,ADA,1.18658
175,2022-04-05 18:00:00,1,DOT,22.24
176,2022-04-05 18:00:00,2,DOT,22.26
177,2022-04-05 18:00:00,3,DOT,22.2325
178,2022-04-05 18:00:00,4,DOT,22.2489
179,2022-04-05 18:00:00,5,DOT,22.258
